127.0.0.1 - - [20/Jul/2016:10:23:24 +0100] "GET /wp-content/plugins/gallery-plugin/bws_menu/css/general_style.css?ver=4.5.2 HTTP/1.1" 200 12074 "http://hbmr.dev/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:24 +0100] "GET /wp-content/plugins/gallery-plugin/bws_menu/js/general_script.js?ver=4.5.2 HTTP/1.1" 200 2178 "http://hbmr.dev/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:24 +0100] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.5.2 HTTP/1.1" 200 41510 "http://hbmr.dev/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:24 +0100] "GET /wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,widgets,site-icon,&load%5B%5D=l10n,buttons,wp-auth-check&ver=4.5.2 HTTP/1.1" 200 90269 "http://hbmr.dev/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:24 +0100] "GET /wp-content/plugins/gallery-plugin/bws_menu/images/bestwebsoft-logo-white.svg HTTP/1.1" 200 2818 "http://hbmr.dev/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:24 +0100] "GET /wp-admin/edit.php HTTP/1.1" 200 62654 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:24 +0100] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,suggest,wp-a11y,inline-edit-post,heartbeat,svg-painter,wp-auth-check&ver=4.5.2 HTTP/1.1" 200 15618 "http://hbmr.dev/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:24 +0100] "GET /wp-content/plugins/gallery-plugin/images/menu_single.png HTTP/1.1" 200 172 "http://hbmr.dev/wp-content/plugins/gallery-plugin/css/style.css?ver=4.5.2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:25 +0100] "GET /favicon.ico HTTP/1.1" 200 5 "http://hbmr.dev/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
127.0.0.1 - - [20/Jul/2016:10:23:25 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 58 "http://hbmr.dev/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
